question,answer,source,focus_area,category,is_relevant
What are the treatments for Kidney Disease ?,"Different Treatments for Different Stages There are several types of treatments related to kidney disease. Some are used in earlier stages of kidney disease to protect your kidneys. These medications and lifestyle changes help you maintain kidney function and delay kidney failure. Other treatments, such as dialysis and transplantation, are used to treat kidney failure. These methods help replace kidney function if your own kidneys have stopped working. Treatments for Early Kidney Disease Treatments for early kidney disease include both diet and lifestyle changes and medications. - Making heart-healthy food choices and exercising regularly to maintain a healthy weight can help prevent the diseases that cause further kidney damage.  - If you already have diabetes and/or high blood pressure, keeping these conditions under control can keep them from causing further damage to your kidneys.   - Choose and prepare foods with less salt and sodium. Aim for less than 2,300 milligrams of sodium each day.   - Eat the right amount of protein. Although it is important to eat enough protein to stay healthy, excess protein makes your kidneys work harder. Eating less protein may help delay progression to kidney failure. Talk to your dietitian or other health care provider about what is the right amount of protein for you.  - If you have been diagnosed with kidney disease, ask your doctor about seeing a dietitian. A dietitian can teach you how to choose foods that are easier on your kidneys. You will also learn about the nutrients that matter for kidney disease. You can find a dietitian near you through the Academy of Nutrition and Dietetics directory.  - If you smoke, take steps to quit. Cigarette smoking can make kidney damage worse.  Making heart-healthy food choices and exercising regularly to maintain a healthy weight can help prevent the diseases that cause further kidney damage. If you already have diabetes and/or high blood pressure, keeping these conditions under control can keep them from causing further damage to your kidneys. Choose and prepare foods with less salt and sodium. Aim for less than 2,300 milligrams of sodium each day. Eat the right amount of protein. Although it is important to eat enough protein to stay healthy, excess protein makes your kidneys work harder. Eating less protein may help delay progression to kidney failure. Talk to your dietitian or other health care provider about what is the right amount of protein for you. If you have been diagnosed with kidney disease, ask your doctor about seeing a dietitian. A dietitian can teach you how to choose foods that are easier on your kidneys. You will also learn about the nutrients that matter for kidney disease. You can find a dietitian near you through the Academy of Nutrition and Dietetics directory. If you smoke, take steps to quit. Cigarette smoking can make kidney damage worse. Medicines Medicines can also help protect the kidneys. People with kidney disease often take medicines to lower blood pressure, control blood glucose, and lower blood cholesterol. Two types of blood pressure medicines -- angiotensin-converting enzyme (ACE) inhibitors, and angiotensin receptor blockers (ARBs) -- may protect the kidneys and delay kidney failure. These medicines may even protect kidney function in people who don't have high blood pressure. The most important step you can take to treat kidney disease is to control your blood pressure. Many people need two or more medicines to keep their blood pressure at a healthy level. For most people, the blood pressure target is less than 140/90 mm Hg. An ACE inhibitor, ARB, or diuretic (water pill) may help control blood pressure. Your healthcare provider will work with you to choose the right medicines for you. (Watch the video to learn more about medications and kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Be Safe With Your Medicines Some older adults with kidney disease may take medicines for other diseases as well. If you have kidney disease, you need to be careful about all the medicines you take. Your kidneys do not filter as well as they did in the past. This can cause an unsafe buildup of medicines in your blood. Some medicines can also harm your kidneys. As kidney disease progresses, your doctor may need to change the dose (or amount) of all medicines that affect the kidney or are removed by the kidney. You may need to take some medicines in smaller amounts or less often. You may also need to stop taking a medicine or switch to a different one. Effects of NSAID Drugs Non-steroidal anti-inflammatory drugs (NSAIDs) can harm your kidneys, especially if you have kidney disease, diabetes, and high blood pressure. NSAIDs include common over-the-counter and prescription medicines for headaches, pain, fever, or colds. Ibuprofen and naproxen are NSAIDs, but NSAIDs are sold under many different brand names. If you have kidney disease, do not use NSAIDs. Ask your pharmacist or health care provider if the medicines you take are safe to use. You also can look for NSAIDs on Drug Facts labels.",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
What is (are) High Blood Pressure ?,"Blood pressure rises as body weight increases. Losing even 10 pounds can lower blood pressure -- and it has the greatest effect for those who are overweight and already have hypertension. If you are overweight or obese, work with your health care provider to develop a plan to help you lower your weight and maintain a healthy weight. Aim to reduce your weight by 7 to 10 percent over six months, which can lower your risk for health problems. For example, if you are overweight at 200 pounds, try to lose 14 to 20 pounds over six months. After that, you may have to continue to lose weight to get to a healthy weight.",NIHSeniorHealth,High Blood Pressure,Cardiovascular,True
Who is at risk for Stroke? ?,"Stroke occurs in all age groups, in both sexes, and in all races in every country. It can even occur before birth, when the fetus is still in the womb. Studies show the risk of stroke doubles for each decade between the ages of 55 and 85. However, a recent study found that stroke rates are on the rise for people under 55.",NIHSeniorHealth,Stroke,Cardiovascular,True
What is (are) Hemochromatosis ?,"Hemochromatosis is the most common form of iron overload disease. Too much iron in the body causes hemochromatosis. Iron is important because it is part of hemoglobin, a molecule in the blood that transports oxygen from the lungs to all body tissues. However, too much iron in the body leads to iron overloada buildup of extra iron that, without treatment, can damage organs such as the liver, heart, and pancreas; endocrine glands; and joints.
                
The three types of hemochromatosis are primary hemochromatosis, also called hereditary hemochromatosis; secondary hemochromatosis; and neonatal hemochromatosis.",NIDDK,Hemochromatosis,Endocrine/Metabolic,True
What is (are) Problems with Smell ?,"You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of the problem?  - Did I have a cold or the flu?  - Did I have a head injury?   - Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic?  - Is this a recurring problem?  - Does it come at any special time, such as during the hay fever season? When did I first become aware of the problem? Did I have a cold or the flu? Did I have a head injury? Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic? Is this a recurring problem? Does it come at any special time, such as during the hay fever season?",NIHSeniorHealth,Problems with Smell,Unrelated,False
What is (are) Endometrial Cancer ?,"Key Points
                    - Endometrial cancer is a disease in which malignant (cancer) cells form in the tissues of the endometrium.     - Endometrial cancer is the most common invasive cancer of the female reproductive system.
                
                
                    Endometrial cancer is a disease in which malignant (cancer) cells form in the tissues of the endometrium.
                    The endometrium is the lining of the uterus. The uterus is part of the female reproductive system. It is a hollow, pear-shaped, muscular organ in the pelvis, where a fetus grows.      Cancer of the endometrium is different from cancer of the muscle of the uterus, which is called sarcoma of the uterus. See the PDQ summary on Uterine Sarcoma Treatment for more information.   See the following PDQ summaries for more information about endometrial cancer:         -  Endometrial Cancer Screening     -  Endometrial Cancer Treatment
                
                
                    Endometrial cancer is the most common invasive cancer of the female reproductive system.
                    Endometrial cancer is diagnosed most often in postmenopausal women at an average age of 60 years .   From 2004 to 2013, the number of new cases of endometrial cancer increased slightly in white and African American women. From 2005 to 2014, the number of deaths from endometrial cancer also increased slightly in white and African American women. Compared with white women, rates of endometrial cancer are lower in Japanese Americans and in Latinas. The rates of endometrial cancer in white women are about the same as in African Americans or in native Hawaiians. The number of deaths from endometrial cancer is higher in African American women compared with women of other races.",CancerGov,Endometrial Cancer,Unrelated,False
What is (are) Heart Failure ?,More detailed information on heart failure is available at http://www.nhlbi.nih.gov/health/dci,NIHSeniorHealth,Heart Failure,Cardiovascular,True
What is (are) Alzheimer's Disease ?,"Alzheimer's disease has three stages: early (also called mild), middle (moderate), and late (severe). A person in the early stage of Alzheimers may - find it hard to remember things  -  ask the same questions over and over  -  get lost in familiar places  -  lose things or put them in odd places  - have trouble handling money and paying bills  - take longer than normal to finish daily tasks. find it hard to remember things ask the same questions over and over get lost in familiar places lose things or put them in odd places have trouble handling money and paying bills take longer than normal to finish daily tasks. As Alzheimers disease progresses to the middle stage, memory loss and confusion grow worse, and people may have problems recognizing family and friends. Other symptoms are this stage include -  difficulty learning new things and coping with new situations  - trouble carrying out tasks that involve multiple steps, like getting dressed  -  impulsive behavior  - forgetting the names of common things  - hallucinations, delusions, or paranoia  - wandering away from home. difficulty learning new things and coping with new situations trouble carrying out tasks that involve multiple steps, like getting dressed impulsive behavior forgetting the names of common things hallucinations, delusions, or paranoia wandering away from home. As Alzheimers disease becomes more severe, people lose the ability to communicate. They may sleep more, lose weight, and have trouble swallowing. Often they are incontinentthey cannot control their bladder and/or bowels. Eventually, they need total care.",NIHSeniorHealth,Alzheimer's Disease,Neurological,True
Who is at risk for Metabolic Syndrome? ?,"People at greatest risk for metabolic syndrome have these underlying causes:
                
Abdominal obesity (a large waistline)
                
An inactive lifestyle
                
Insulin resistance
                
Some people are at risk for metabolic syndrome because they take medicines that cause weight gain or changes in blood pressure, blood cholesterol, and blood sugar levels. These medicines most often are used to treat inflammation, allergies, HIV, and depression and other types of mental illness.
                
Populations Affected
                
Some racial and ethnic groups in the United States are at higher risk for metabolic syndrome than others. Mexican Americans have the highest rate of metabolic syndrome, followed by whites and blacks.
                
Other groups at increased risk for metabolic syndrome include:
                
People who have a personal history of diabetes
                
People who have a sibling or parent who hasdiabetes
                
Women when compared with men
                
Women who have a personal history of polycystic ovarian syndrome (a tendency to develop cysts on the ovaries)
                
Heart Disease Risk
                
Metabolic syndrome increases your risk for coronary heart disease. Other risk factors, besides metabolic syndrome, also increase your risk for heart disease. For example, a high LDL (bad) cholesterol level and smoking are major risk factors for heart disease. For details about all of the risk factors for heart disease, go to the Coronary Heart Disease Risk Factors HealthTopic.
                
Even if you dont have metabolic syndrome, you should find out your short-term risk for heart disease. The National Cholesterol Education Program (NCEP) divides short-term heart disease risk into four categories. Your risk category depends on which risk factors you have and how many you have.
                
Your risk factors are used to calculate your 10-year risk of developing heart disease. The NCEP has an online calculator that you can use to estimate your 10-year risk of having a heart attack.
                
High risk: Youre in this category if you already have heart disease or diabetes, or if your 10-year risk score is more than 20 percent.
                
Moderately high risk: Youre in this category if you have two or more risk factors and your 10-year risk score is 10 percent to 20 percent.
                
Moderate risk: Youre in this category if you have two or more risk factors and your 10-year risk score is less than 10 percent.
                
Lower risk: Youre in this category if you have zero or one risk factor.
                
Even if your 10-year risk score isnt high, metabolic syndrome will increase your risk for coronary heart disease over time.",NHLBI,Metabolic Syndrome,Endocrine/Metabolic,True
What is (are) Rheumatoid Arthritis ?,"Rest. People with rheumatoid arthritis need a good balance between rest and exercise; they should rest more when the disease is active and exercise more when it is not. Rest helps to reduce active joint inflammation and pain and to fight fatigue. The length of time for rest will vary from person to person, but in general, shorter rest breaks every now and then are more helpful than long times spent in bed. Exercise. Exercise is important for maintaining healthy and strong muscles, preserving joint mobility, and maintaining flexibility. Exercise can help people sleep well, reduce pain, maintain a positive attitude, and manage weight. Exercise programs should take into account the persons physical abilities, limitations, and changing needs. For more information on exercise classes, you may want to contact the Arthritis Foundation at 1-800-283-7800. Learn more about the health benefits of exercise for older adults.  More information about exercise and physical activity for older adults can be found at Go4Life, the exercise and and physical activity campaign from the National Institute on Aging. Diet. Special diets, vitamin supplements, and other alternative approaches have been suggested for treating rheumatoid arthritis. Although such approaches may not be harmful, scientific studies have not yet shown any benefits. An overall nutritious diet with the right amount of calories, protein, and calcium is important. Some people need to be careful about drinking alcoholic beverages because of the medications they take for rheumatoid arthritis. See Eating Well as You Get Older  to learn more about healthy eating.  Joint Care. Some people find that using a splint for a short time around a painful joint reduces pain and swelling by supporting the joint and letting it rest. Assistive devices may help reduce stress and lessen pain in the joints. Examples include zipper pullers and aids to help with moving in and out of chairs and beds.  Stress Reduction. Finding ways to reduce stress is important. Regular rest periods can help and so can relaxation, distraction, or visualization exercises. Exercise programs, participation in support groups, and good communication with the health care team are other ways to reduce stress.  Learn about relaxation techniques that may relieve tension.",NIHSeniorHealth,Rheumatoid Arthritis,Musculoskeletal,True
What is (are) Osteoporosis ?,"A Bone Disease Osteoporosis is a disease that thins and weakens the bones to the point that they become fragile and break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but any bone can be affected. You can't ""catch"" osteoporosis or give it to someone else. In the United States, more than 53 million people either already have osteoporosis or are at high risk due to low bone mass, placing them at risk for more serious bone loss and fractures. Although osteoporosis can strike at any age, it is most common among older people, especially older women. How Bone Loss Occurs Bone is living tissue. Throughout our lives, the body breaks down old bone and replaces it with new bone. But as people age, more bone is broken down than is replaced. The inside of a bone normally looks like a honeycomb, but when a person has osteoporosis, the spaces inside this honeycomb become larger, reflecting the loss of bone density and strength. (The word ""osteoporosis"" means ""porous bone."") The outside of long bones -- called the cortex -- also thins, further weakening the bone. Sometime around the age of 30, bone mass stops increasing, and the goal for bone health is to keep as much bone as possible for as long as you can. In most women, the rate of bone loss increases for several years after menopause, then slows down again, but continues. In men, the bone loss occurs more slowly. But by age 65 or 70, most men and women are losing bone at the same rate. Weak Bones Can Lead to Fractures Osteoporosis is often called ""silent"" because bone loss occurs without symptoms. People may not know that they have osteoporosis until a sudden strain, bump, or fall causes a bone to break. This can result in a trip to the hospital, surgery, and possibly a long-term disabling condition. Broken bones in your spine are painful and very slow to heal. People with weak bones in their spine gradually lose height and their posture becomes hunched over. Over time a bent spine can make it hard to walk or even sit up. Broken hips are a very serious problem as we age. They greatly increase the risk of death, especially during the year after they break. People who break a hip might not recover for months or even years. Because they often cannot care for themselves, they are more likely to have to live in a nursing home. Prevention and Treatment The good news is that osteoporosis can often be prevented and treated. Healthy lifestyle choices such as proper diet, exercise, and treatment medications can help prevent further bone loss and reduce the risk of fractures.",NIHSeniorHealth,Osteoporosis,Endocrine/Metabolic,True
What is (are) Lupus ?,"If you have lupus, your immune system attacks healthy cells and tissues by mistake. This can damage your joints, skin, blood vessels and organs. There are many kinds of lupus. The most common type, systemic lupus erythematosus, affects many parts of the body. Discoid lupus causes a rash that doesn't go away. Subacute cutaneous lupus causes sores after being out in the sun. Another type can be caused by medication. Neonatal lupus, which is rare, affects newborns.     Anyone can get lupus, but women are most at risk. Lupus is also more common in African American, Hispanic, Asian and Native American women. The cause of lupus is not known.     Lupus has many symptoms. Some common ones are        - Joint pain or swelling     - Muscle pain     - Fever with no known cause     - Fatigue    - Red rashes, often on the face (also called the ""butterfly rash"")       There is no one test to diagnose lupus, and it may take months or years to make the diagnosis. There is no cure for lupus, but medicines and lifestyle changes can help control it.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",MPlusHealthTopics,Lupus,Musculoskeletal,True
What causes Bronchitis ?,"Acute Bronchitis
                
Infections or lung irritants cause acute bronchitis. The same viruses that cause colds and the flu are the most common cause of acute bronchitis. Sometimes bacteria can cause the condition.
                
Certain substances can irritate your lungs and airways and raise your risk for acute bronchitis. For example, inhaling or being exposed to tobacco smoke, dust, fumes, vapors, or air pollution raises your risk for the condition. These lung irritants also can make symptoms worse.
                
Being exposed to a high level of dust or fumes, such as from an explosion or a big fire, also may lead to acute bronchitis.
                
Chronic Bronchitis
                
Repeatedly breathing in fumes that irritate and damage lung and airway tissues causes chronic bronchitis. Smoking is the major cause of the condition.
                
Breathing in air pollution and dust or fumes from the environment or workplace also can lead to chronic bronchitis.
                
People who have chronic bronchitis go through periods when symptoms become much worse than usual. During these times, they also may have acute viral or bacterial bronchitis.",NHLBI,Bronchitis,Respiratory,True
What is (are) Atrial Fibrillation ?,"Atrial fibrillation (A-tre-al fi-bri-LA-shun), or AF, is the most common type of arrhythmia (ah-RITH-me-ah). An arrhythmia is a problem with the rate or rhythm of the heartbeat. During an arrhythmia, the heart can beat too fast, too slow, or with an irregular rhythm.
                
AF occurs if rapid, disorganized electrical signals cause the heart's two upper chamberscalled the atria (AY-tree-uh)to fibrillate. The term ""fibrillate"" means to contract very fast and irregularly.
                
In AF, blood pools in the atria. It isn't pumped completely into the heart's two lower chambers, called the ventricles (VEN-trih-kuls). As a result, the heart's upper and lower chambers don't work together as they should.
                
People who have AF may not feel symptoms. However, even when AF isn't noticed, it can increase the risk of stroke. In some people, AF can cause chest pain or heart failure, especially if the heart rhythm is very rapid.
                
AF may happen rarely or every now and then, or it may become an ongoing or long-term heart problem that lasts for years.
                
Understanding the Heart's Electrical System
                
To understand AF, it helps to understand the heart's internal electrical system. The heart's electrical system controls the rate and rhythm of the heartbeat.
                
With each heartbeat, an electrical signal spreads from the top of the heart to the bottom. As the signal travels, it causes the heart to contract and pump blood.
                
Each electrical signal begins in a group of cells called the sinus node or sinoatrial (SA) node. The SA node is located in the right atrium. In a healthy adult heart at rest, the SA node sends an electrical signal to begin a new heartbeat 60 to 100 times a minute. (This rate may be slower in very fit athletes.)
                
From the SA node, the electrical signal travels through the right and left atria. It causes the atria to contract and pump blood into the ventricles.
                
The electrical signal then moves down to a group of cells called the atrioventricular (AV) node, located between the atria and the ventricles. Here, the signal slows down slightly, allowing the ventricles time to finish filling with blood.
                
The electrical signal then leaves the AV node and travels to the ventricles. It causes the ventricles to contract and pump blood to the lungs and the rest of the body. The ventricles then relax, and the heartbeat process starts all over again in the SA node.
                
For more information about the heart's electrical system and detailed animations, go to the Diseases and Conditions Index How the Heart Works article.
                
Understanding the Electrical Problem in Atrial Fibrillation
                
In AF, the heart's electrical signals don't begin in the SA node. Instead, they begin in another part of the atria or in the nearby pulmonary veins. The signals don't travel normally. They may spread throughout the atria in a rapid, disorganized way. This can cause the atria to fibrillate.
                
The faulty signals flood the AV node with electrical impulses. As a result, the ventricles also begin to beat very fast. However, the AV node can't send the signals to the ventricles as fast as they arrive. So, even though the ventricles are beating faster than normal, they aren't beating as fast as the atria.
                
Thus, the atria and ventricles no longer beat in a coordinated way. This creates a fast and irregular heart rhythm. In AF, the ventricles may beat 100 to 175 times a minute, in contrast to the normal rate of 60 to 100 beats a minute.
                
If this happens, blood isn't pumped into the ventricles as well as it should be. Also, the amount of blood pumped out of the ventricles to the body is based on the random atrial beats.
                
The body may get rapid, small amounts of blood and occasional larger amounts of blood. The amount will depend on how much blood has flowed from the atria to the ventricles with each beat.
                
Most of the symptoms of AF are related to how fast the heart is beating. If medicines or age slow the heart rate, the symptoms are minimized.
                
AF may be brief, with symptoms that come and go and end on their own. Or, the condition may be ongoing and require treatment. Sometimes AF is permanent, and medicines or other treatments can't restore a normal heart rhythm.
                
The animation below shows atrial fibrillation. Click the ""start"" button to play the animation. Written and spoken explanations are provided with each frame. Use the buttons in the lower right corner to pause, restart, or replay the animation, or use the scroll bar below the buttons to move through the frames.
                

                

                
The animation shows how the heart's electrical signal can begin somewhere other than the sinoatrial node. This causes the atria to beat very fast and irregularly.
                
Outlook
                
People who have AF can live normal, active lives. For some people, treatment can restore normal heart rhythms.
                
For people who have permanent AF, treatment can help control symptoms and prevent complications. Treatment may include medicines, medical procedures, and lifestyle changes.",NHLBI,Atrial Fibrillation,Cardiovascular,True
What are the symptoms of Short Bowel Syndrome ?,"The main symptom of short bowel syndrome is diarrhealoose, watery stools. Diarrhea can lead to dehydration, malnutrition, and weight loss. Dehydration means the body lacks enough fluid and electrolyteschemicals in salts, including sodium, potassium, and chlorideto work properly. Malnutrition is a condition that develops when the body does not get the right amount of vitamins, minerals, and nutrients it needs to maintain healthy tissues and organ function. Loose stools contain more fluid and electrolytes than solid stools. These problems can be severe and can be life threatening without proper treatment.
                
Other signs and symptoms may include
                
- bloating  - cramping  - fatigue, or feeling tired  - foul-smelling stool  - heartburn  - too much gas  - vomiting  - weakness
                
People with short bowel syndrome are also more likely to develop food allergies and sensitivities, such as lactose intolerance. Lactose intolerance is a condition in which people have digestive symptomssuch as bloating, diarrhea, and gasafter eating or drinking milk or milk products.
                
More information is provided in the NIDDK health topic, Lactose Intolerance.",NIDDK,Short Bowel Syndrome,Gastrointestinal,True
What are the treatments for Osteoarthritis ?,"Warm towels, hot packs, or a warm bath or shower can provide temporary pain relief. Medications such as non-steroidal anti-inflammatory drugs, or NSAIDs, help reduce pain and inflammation that result from osteoarthritis. A doctor or physical therapist can recommend if heat or cold is the best treatment. For osteoarthritis in the knee, wearing insoles or cushioned shoes may reduce joint stress.",NIHSeniorHealth,Osteoarthritis,Musculoskeletal,True
What to do for Kidney Dysplasia ?,"Researchers have not found that eating, diet, and nutrition play a role in causing or preventing kidney dysplasia.",NIDDK,Kidney Dysplasia,Kidney/Renal,True
What are the treatments for Kidney Disease ?,"During your next health care visit, talk to your provider about your test results and how to manage your kidney disease. Below is a list of questions you may want to ask. Add any questions you think are missing, and mark those that are most important to you. Bring your list with you.   About your tests  - Did you check my kidney health with blood and urine tests?  -  What was my GFR? What does that mean?   - Has my GFR changed since last time?   - What is my urine albumin level? What does that mean?   - Has my urine albumin changed since the last time it was checked?   - Is my kidney disease getting worse?   - Is my blood pressure where it needs to be?   - Will I need dialysis?  - When should I talk to my family about dialysis or a kidney transplant?  Did you check my kidney health with blood and urine tests? What was my GFR? What does that mean? Has my GFR changed since last time? What is my urine albumin level? What does that mean? Has my urine albumin changed since the last time it was checked? Is my kidney disease getting worse? Is my blood pressure where it needs to be? Will I need dialysis? When should I talk to my family about dialysis or a kidney transplant? (Watch the video to learn more about dialysis decisions. To enlarge the videos on this page, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.)  About treatment and self-care - What can I do to keep my disease from getting worse?   - Do any of my medicines or doses need to be changed?   - Do I need to change what I eat? Am I eating the right amount of protein, salt (sodium), potassium, and phosphorus?   - Will you refer me to a dietitian for diet counseling?   - When will I need to see a nephrologist (kidney specialist)?   - What do I need to do to protect my veins?  What can I do to keep my disease from getting worse? Do any of my medicines or doses need to be changed? Do I need to change what I eat? Am I eating the right amount of protein, salt (sodium), potassium, and phosphorus? Will you refer me to a dietitian for diet counseling? When will I need to see a nephrologist (kidney specialist)? What do I need to do to protect my veins? (Watch the video to learn more about lifestyle and diet changes to make with kidney disease.) About complications - What other health problems may I face because of my kidney disease?   - Should I be looking for any symptoms? If so, what are they?  What other health problems may I face because of my kidney disease? Should I be looking for any symptoms? If so, what are they?  If you're told that you need renal replacement therapy (dialysis or a transplant) - How do I decide which treatment is right for me?   - How do I prepare for dialysis?   - What is an AV fistula?   - How soon do I begin preparing?  - How can my family help me?  How do I decide which treatment is right for me? How do I prepare for dialysis? What is an AV fistula? How soon do I begin preparing? How can my family help me?",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
What is (are) Diabetes ?,"Heart disease and stroke are the leading causes of death for people with diabetes. Controlling the ABCs of diabetes -- your blood glucose, your blood pressure, and your cholesterol, as well as stopping smoking -- can help prevent these and other complications from diabetes. -  A is for the A1C test  -  B is for Blood pressure  -  C is for Cholesterol. A is for the A1C test B is for Blood pressure C is for Cholesterol. - The A1C test (A-one-C) shows you what your blood glucose has been over the last three months. Your health care provider does this test to see what your blood glucose level is most of the time. This test should be done at least twice a year for all people with diabetes and for some people more often as needed. For many people with diabetes, an A1C test result of under 7 percent usually means that their diabetes treatment is working well and their blood glucose is under control.  The A1C test (A-one-C) shows you what your blood glucose has been over the last three months. Your health care provider does this test to see what your blood glucose level is most of the time. This test should be done at least twice a year for all people with diabetes and for some people more often as needed. For many people with diabetes, an A1C test result of under 7 percent usually means that their diabetes treatment is working well and their blood glucose is under control. -  B is for Blood pressure. The goal for most people is 140/90 but may be different for you. High blood pressure makes your heart work too hard. It can cause heart attack, stroke, and kidney disease. Your blood pressure should be checked at every doctor visit. Talk with your health care provider about your blood pressure goal.  B is for Blood pressure. The goal for most people is 140/90 but may be different for you. High blood pressure makes your heart work too hard. It can cause heart attack, stroke, and kidney disease. Your blood pressure should be checked at every doctor visit. Talk with your health care provider about your blood pressure goal. - C is for Cholesterol (ko-LES-ter-ol). The LDL goal for most people is less than 100. Low density lipoprotein, or LDL-cholesterol, is the bad cholesterol that builds up in your blood vessels. It causes the vessels to narrow and harden, which can lead to a heart attack. Your doctor should check your LDL at least once a year. Talk with your health care provider about your cholesterol goal.  C is for Cholesterol (ko-LES-ter-ol). The LDL goal for most people is less than 100. Low density lipoprotein, or LDL-cholesterol, is the bad cholesterol that builds up in your blood vessels. It causes the vessels to narrow and harden, which can lead to a heart attack. Your doctor should check your LDL at least once a year. Talk with your health care provider about your cholesterol goal. Ask your health care team - what your A1C, blood pressure, and cholesterol numbers are.  - what your ABCs should be.  - what you can do to reach your target.  what your A1C, blood pressure, and cholesterol numbers are. what your ABCs should be. what you can do to reach your target.",NIHSeniorHealth,Diabetes,Endocrine/Metabolic,True
What is (are) Polycystic Kidney Disease ?,"Autosomal recessive PKD is a rare genetic disorder that affects the liver as well as the kidneys. The signs of autosomal recessive PKD frequently appear in the earliest months of life, even in the womb, so health care providers often call it infantile PKD. In an autosomal recessive disorder, the child has to inherit the gene mutation from both parents to have an increased likelihood for the disorder. The chance of a child inheriting autosomal recessive mutations from both parents with a gene mutation is 25 percent, or one in four. If only one parent carries the mutated gene, the child will not get the disorder, although the child may inherit the gene mutation. The child is a carrier of the disorder and can pass the gene mutation to the next generation. Genetic testing can show whether a parent or child is a carrier of the mutated gene. Autosomal recessive disorders do not typically appear in every generation of an affected family.
                
The following chart shows the chance of inheriting an autosomal recessive mutation from parents who both carry the mutated gene:
                

                

                
Read more about how people inherit genetic conditions at the NLMs Genetics Home Reference.",NIDDK,Polycystic Kidney Disease,Kidney/Renal,True
